Sent Value 1, 2023-05-30 19:15:34.227909
Received Value 506.0, 2023-05-30 19:15:34.230511
Sent Value 11.1, 2023-05-30 19:15:34.235845
Received Value 21.2, 2023-05-30 19:15:34.238055
Sent Value 21.2, 2023-05-30 19:15:34.242912
Received Value 31.3, 2023-05-30 19:15:34.246474
Sent Value 31.3, 2023-05-30 19:15:34.247114
Received Value 31.3, 2023-05-30 19:15:34.250608
Sent Value 41.4, 2023-05-30 19:15:34.251842
Received Value 41.4, 2023-05-30 19:15:34.254596
Sent Value 51.5, 2023-05-30 19:15:34.255701
Received Value 51.5, 2023-05-30 19:15:34.258776
Sent Value 61.6, 2023-05-30 19:15:34.263229
Received Value 71.7, 2023-05-30 19:15:34.266776
Sent Value 71.7, 2023-05-30 19:15:34.271296
Received Value 81.8, 2023-05-30 19:15:34.274905
Sent Value 81.8, 2023-05-30 19:15:34.280376
Received Value 91.9, 2023-05-30 19:15:34.283694
Sent Value 91.9, 2023-05-30 19:15:34.288209
Received Value 102.0, 2023-05-30 19:15:34.291935
Sent Value 102.0, 2023-05-30 19:15:34.296499
Received Value 112.1, 2023-05-30 19:15:34.299697
Sent Value 112.1, 2023-05-30 19:15:34.305219
Received Value 122.2, 2023-05-30 19:15:34.311651
Sent Value 122.2, 2023-05-30 19:15:34.313147
Received Value 132.3, 2023-05-30 19:15:34.316159
Sent Value 132.3, 2023-05-30 19:15:34.316636
Received Value 132.3, 2023-05-30 19:15:34.320135
Sent Value 142.4, 2023-05-30 19:15:34.324858
Received Value 152.5, 2023-05-30 19:15:34.328683
Sent Value 152.5, 2023-05-30 19:15:34.332804
Received Value 162.6, 2023-05-30 19:15:34.336897
Sent Value 162.6, 2023-05-30 19:15:34.337564
Received Value 162.6, 2023-05-30 19:15:34.340764
Sent Value 172.7, 2023-05-30 19:15:34.345272
Received Value 182.8, 2023-05-30 19:15:34.349236
Sent Value 182.8, 2023-05-30 19:15:34.353530
Received Value 192.9, 2023-05-30 19:15:34.357555
Sent Value 192.9, 2023-05-30 19:15:34.361869
Received Value 203.0, 2023-05-30 19:15:34.365013
Sent Value 203.0, 2023-05-30 19:15:34.370137
Received Value 213.1, 2023-05-30 19:15:34.373646
Sent Value 213.1, 2023-05-30 19:15:34.374182
Received Value 213.1, 2023-05-30 19:15:34.377473
Sent Value 223.2, 2023-05-30 19:15:34.382300
Received Value 233.3, 2023-05-30 19:15:34.385803
Sent Value 233.3, 2023-05-30 19:15:34.391794
Received Value 243.4, 2023-05-30 19:15:34.398124
Sent Value 243.4, 2023-05-30 19:15:34.399794
Received Value 253.5, 2023-05-30 19:15:34.406277
Sent Value 253.5, 2023-05-30 19:15:34.408082
Received Value 263.6, 2023-05-30 19:15:34.414140
Sent Value 263.6, 2023-05-30 19:15:34.415232
Received Value 273.7, 2023-05-30 19:15:34.418328
Sent Value 273.7, 2023-05-30 19:15:34.423232
Received Value 283.8, 2023-05-30 19:15:34.426505
Sent Value 283.8, 2023-05-30 19:15:34.430982
Received Value 293.9, 2023-05-30 19:15:34.434864
Sent Value 293.9, 2023-05-30 19:15:34.435441
Received Value 293.9, 2023-05-30 19:15:34.438779
Sent Value 304.0, 2023-05-30 19:15:34.443365
Received Value 314.1, 2023-05-30 19:15:34.447213
Sent Value 314.1, 2023-05-30 19:15:34.447813
Received Value 314.1, 2023-05-30 19:15:34.451072
Sent Value 324.2, 2023-05-30 19:15:34.455574
Received Value 334.3, 2023-05-30 19:15:34.459762
Sent Value 334.3, 2023-05-30 19:15:34.460638
Received Value 334.3, 2023-05-30 19:15:34.464228
Sent Value 344.4, 2023-05-30 19:15:34.465747
Received Value 344.4, 2023-05-30 19:15:34.467810
Sent Value 344.4, 2023-05-30 19:15:34.468699
Received Value 354.5, 2023-05-30 19:15:34.471812
Sent Value 354.5, 2023-05-30 19:15:34.476339
Received Value 364.6, 2023-05-30 19:15:34.480220
Sent Value 364.6, 2023-05-30 19:15:34.485382
Received Value 374.7, 2023-05-30 19:15:34.488286
Sent Value 374.7, 2023-05-30 19:15:34.488860
Received Value 374.7, 2023-05-30 19:15:34.492072
Sent Value 384.8, 2023-05-30 19:15:34.496392
Received Value 394.9, 2023-05-30 19:15:34.500150
Sent Value 394.9, 2023-05-30 19:15:34.500839
Received Value 394.9, 2023-05-30 19:15:34.504915
Sent Value 405.0, 2023-05-30 19:15:34.508956
Received Value 415.1, 2023-05-30 19:15:34.512745
Sent Value 415.1, 2023-05-30 19:15:34.513396
Received Value 415.1, 2023-05-30 19:15:34.516553
Sent Value 425.2, 2023-05-30 19:15:34.521447
Received Value 435.3, 2023-05-30 19:15:34.525684
Sent Value 435.3, 2023-05-30 19:15:34.529670
Received Value 445.4, 2023-05-30 19:15:34.534024
Sent Value 445.4, 2023-05-30 19:15:34.537652
Received Value 455.5, 2023-05-30 19:15:34.541463
Sent Value 455.5, 2023-05-30 19:15:34.542343
Received Value 455.5, 2023-05-30 19:15:34.545412
